l = 20,N = 30,G = 50,Pm = 0.033,Pc = 0

Average Fitness,Best Fitness,Correct Bits
Run 1
0.1642100260649141,0.9295091496801684,14
0.3944515642883713,0.9295448684004005,12
0.07892880427338188,0.5388641287003912,10
0.15866393448578806,0.5278151925060828,9
2.2868522583139024e-20,2.2868522583139024e-20,7
0.003295561901393753,0.0032955619013937515,8
4.606361566133972e-07,4.60636156613397e-07,10
0.10121861436860766,0.10121861436860763,9
0.39922141719558896,0.39922141719558896,11
0.0029932834865510753,0.0029932834865510735,7
0.0010740383955066676,0.001074038395506667,10
0.13227487456241482,0.1322748745624149,12
0.3275336849431128,0.32753368494311286,11
1.1011406270596527e-08,1.1011406270596526e-08,10
0.09411958920977394,0.09411958920977398,9
0.02012543241473597,0.02012543241473598,12
0.931851337010012,0.9318513370100115,12
0.02629372389983268,0.02629372389983269,14
0.04549643715131447,0.04549643715131448,11
0.0008817383219408695,0.0008817383219408691,11
1.0329946791687528e-05,1.032994679168752e-05,9
2.064844500647504e-06,2.064844500647503e-06,12
0.0001719030372415607,0.0001719030372415607,9
2.9684559894830246e-05,2.9684559894830256e-05,9
1.49239736777459e-08,1.492397367774591e-08,8
0.08513025814676749,0.08513025814676753,7
0.0036604906715808636,0.0036604906715808658,10
0.10920725017500611,0.10920725017500611,7
0.0003383102831855495,0.0003383102831855497,9
0.035115073525006764,0.03511507352500677,13
0.9322362488087023,0.9322362488087019,8
5.706513554442855e-09,5.706513554442858e-09,8
1.0737387160427826e-06,1.073738716042783e-06,10
0.05883476661761235,0.05883476661761238,8
0.0037279712384772584,0.003727971238477256,11
0.06357629575246306,0.06357629575246307,10
5.946874880559509e-13,5.946874880559509e-13,12
0.0017534657805670596,0.0017534657805670603,12
0.5777489973946676,0.5777489973946671,9
0.0046921056450309724,0.00469210564503097,10
0.11246952438859038,0.11246952438859045,6
3.4361812620953147e-06,3.436181262095316e-06,8
0.059861703963281616,0.059861703963281616,9
0.04103957958183902,0.04103957958183902,8
4.678655650368047e-06,4.678655650368046e-06,11
2.1415683546009387e-05,2.141568354600937e-05,7
7.189138183050765e-17,7.189138183050766e-17,13
0.6778648898534666,0.6778648898534662,7
5.081172993828694e-07,5.081172993828693e-07,15
0.0005008517133380847,0.0005008517133380844,9

Run 2
0.049036147154953635,0.4705654982800303,15
0.1301992989858663,0.3831439196792666,9
0.013168941868003457,0.12605870444465497,13
0.3056668822702251,0.5324209302669768,10
0.15812332318543562,0.5298308197112137,8
0.027639396021903986,0.10364770877779296,12
0.05929746011075548,0.059297460110755505,5
9.656007173041694e-07,9.6560071730417e-07,10
9.39011745138569e-05,9.39011745138569e-05,7
6.299692235939854e-05,6.299692235939854e-05,10
2.333628338313028e-07,2.3336283383130265e-07,7
5.802164178524462e-14,5.802164178524458e-14,10
1.0320634997198125e-05,1.032063499719812e-05,12
6.815967187974271e-06,6.8159671879742735e-06,12
0.7663372259895987,0.766337225989599,12
0.00021057343084219217,0.00021057343084219225,14
8.845260138353244e-06,8.845260138353246e-06,10
1.5955669752478727e-13,1.5955669752478727e-13,8
2.4242262165458052e-17,2.4242262165458052e-17,16
0.05612547320036316,0.05612547320036319,16
0.21720985934505482,0.21720985934505474,12
9.250377187732489e-07,9.250377187732484e-07,7
1.2945622057152253e-12,1.294562205715225e-12,6
0.0020165290524323666,0.0020165290524323653,10
0.007682971576932791,0.007682971576932792,9
6.3209862778350585e-12,6.3209862778350626e-12,11
0.008255478718061928,0.008255478718061933,7
1.1178564454541436e-08,1.1178564454541428e-08,7
6.630795271935923e-05,6.630795271935926e-05,11
1.661110812493657e-17,1.6611108124936556e-17,8
7.493193471805954e-12,7.493193471805956e-12,10
0.7396549774683941,0.7396549774683941,6
1.935723771751177e-12,1.935723771751178e-12,6
4.037878002199762e-18,4.0378780021997616e-18,12
8.452582703609539e-06,8.452582703609544e-06,13
0.0009289509632265764,0.0009289509632265768,15
0.0005117934329137102,0.0005117934329137104,9
6.382361066012791e-05,6.382361066012792e-05,9
0.11419486925167956,0.11419486925167963,10
0.1021913799819688,0.10219137998196878,9
7.728039772615185e-06,7.728039772615178e-06,13
2.2469682444952995e-08,2.2469682444952985e-08,10
0.016617568092575686,0.01661756809257568,10
0.09801118800301058,0.09801118800301059,12
0.818469481408311,0.818469481408311,9
6.075948033997924e-14,6.07594803399792e-14,4
1.2311399445215956e-18,1.231139944521595e-18,10
5.472212098328375e-06,5.4722120983283756e-06,9
8.799308310725269e-15,8.79930831072527e-15,14
0.10191259201970036,0.10191259201970032,9

Run 3
0.05834239862654013,0.6545362749795537,11
0.21711089234248876,0.35119753095940426,10
0.027763027283854602,0.1573436402407828,10
0.595108794745001,0.8772157751777194,9
0.005694032152985159,0.005694032152985158,11
0.13671395948900467,0.13671395948900472,13
